"review_id","business_id","rating","text"
"ObNkWaY3_fXd0Xj__C-_ow","-0iLH7iQNYtoURciDpJf6w","5","Une adresse immanquable. Le meilleur magret de Paris. Les ravioles au foie gras sont à tomber également. Personnel agréable et superbe sélection de..."
"7xbgAI4UgVkTiRE9isOfmA","pjamP0dgw5Yim3FCpx9WXQ","5","Une petite table Un grand talent! Produits frais, choisis, mis en valeur Cuissons parfaites! Le chef est un vrai ""rôtisseur"", et sa femme japonaise..."
"FOKFhmpbvzTZdITahqwjOA","pjamP0dgw5Yim3FCpx9WXQ","4","le cadre est très sympa, la carte est très limité, mais tout est bien préparé. Certains mélanges ne sont cependant pas très raccords. a essayer tout de même."
"8ZBumzihkgzr712co9omMg","pjamP0dgw5Yim3FCpx9WXQ","5","Excellente adresse. Le midi, la formule à 20 euros vaut vraiment le coup. Les plats sont délicieux, hyper goûteux. Le service est parfait. Les tables ne se..."
"Z410PyFQsKjJ1ETb64N0ng","3J-vi78uhe3fZEOJDVBXqg","2","Au milieu d'une belle place située au coeur de Paris, un restaurant medium en tout...
Le cadre est sublime, agréable et paisible en toute saison. C'est une..."
"XixjgpYslg6yP-0ZBxNSLw","sELjVQsud9aKqLhBC9vNqw","5","meilleur nourriture à Paris.  Le chef et les serveurs sont merveilleux. Best food in Paris!! Great service and staff!!!"
"yLDJOhk-p2enBJ6xofhMxA","sELjVQsud9aKqLhBC9vNqw","4","Très peu de places, peut-être mieux prévoir pour emporter. Mais nos trois plats ont vu trois erreurs de commande, donc bien verifier. C'est délicieux, ne..."
"-zR_chYNQgK-CBYqjybsDg","sELjVQsud9aKqLhBC9vNqw","5","Découvert avec Deliveroo et très bon. Légumes, healthy, bonnes portions, bon goût pour une alternative au jap sushi, ou Udon. À tester absolument"
"Ur2VKcTImW88i1aTeWK6dQ","5PPRzntCCI_2wIp0g3SWwQ","4","On y va pour tout, sauf pour la déco !
D'ailleurs, c'est bien simple sans tous ces avis, je ne me serais jamais arrêtée ici ! La devanture est typique des..."
"h0X6MCleN6qdLCc6naWAUQ","5PPRzntCCI_2wIp0g3SWwQ","5","Meilleur bahn-mi et meilleur bobun de Paris. Inimitable, petit plus pour le piment qui relève les sandwichs et le bobun. L'assaisonnement émerveille les..."
"6lHfs57HoIRlSjaQ4eWPZQ","5PPRzntCCI_2wIp0g3SWwQ","5","Merci Yelp pour cette découverte!  Les sandwichs étaient succulents. Mais ca n'est rien comparé au caractère trempé et chaleureux de la propriétaire (celle..."
"HEL7MANvI0r63yo7pdTq2w","zhHxYO0gH9Gh53D_J8XeOQ","4","Accueil chaleureux, restaurant calme et service rapide.
Peu de choix à la carte (en particulier pour les desserts). Le rapport qualité prix est très bien..."
"yk6YpSutT9Y2CsotMpq6Og","zhHxYO0gH9Gh53D_J8XeOQ","3","Sans plus....
Cadre agréable, cuisine très simple sans plus, patronne pas souriante, pas commerçante du tout."
"vSp4qdga3I5FqkAotYyzjQ","zhHxYO0gH9Gh53D_J8XeOQ","4","Super
C'est une ancienne brasserie dans laquelle le décor est resté dans son ""jus"", la cuisine traditionnelle et à bon marché. Le service est rapide et..."
"mhZqXdYGrlJXipftVCccrg","tHtuj2ZN1o9IeF0y_szf9g","5","Super expérience! Nous avons pris un menu à 13,90€ comprenant une entrée au choix et un plat, on a trouvé ça peu cher pour des portions plus que..."
"DP2Rk_XLyiPd5FiTDHsneQ","tHtuj2ZN1o9IeF0y_szf9g","4","Un restaurant Coréen sympa, les plats sont bons, On avait pris les entrées, et le fondu au bœuf. La soupe est sucrée, dommage j'aurais préféré sans. Sinon..."
"lspk48LIjZoOgglv3UgsOg","tHtuj2ZN1o9IeF0y_szf9g","5","C'était mon deuxième restaurant coréen à Paris après avoir essayé le soon grill, je l'ai trouvé sur Yelp et j'avais vu qu'il avait de très bons avis donc je..."
"4lLARcIvNAPh3QialzYjJw","-sggfLHsfPbgXw5S6a7Jdg","4","Avec sa petite façade discrète, ses papys attablés au fond de la salle et le chien qui se repose au pied du comptoir, on s'imagine au début un bon vieux..."
"8Fj7_guhUjJlbfeWYGdfCQ","-sggfLHsfPbgXw5S6a7Jdg","4","Restaurant qui ne paie pas forcement de mine mais à la lecture des différents avis sur Yelp, je décide de tester. On est reçu par un serveur qui ne parle..."
"XveTMBUclIieWgZAP7bXDw","-sggfLHsfPbgXw5S6a7Jdg","5","ce qui m'a vraiment marqué... les assaisonnements!!! Suffisamment pour faire la différence entre 4 et 5 étoiles. Attention au budget tout de même mais la..."
"5gGljEVJwmJBxnkHCcqJwg","Yq1084dh0THvZYQRJkR1kg","5","C'est un vrai bijou en plein coeur du jardin du Palais Royal. Récemment renouvelé avec une carte plus moderne, légère et travaillée, la déco chic et épurée..."
"afaldZTuv1Zfbj6UtWlNgg","lBueZXrEbdSdvujDlQUB-w","4","Une valeur sure de chez valeur sure pour manger de la bonne viande de boeuf à Paris et à des prix raisonnables! Arrivés un samedi soir à 21h30 et sans..."
"c1Lxnuq2Pee6UJLe9AaSMw","lBueZXrEbdSdvujDlQUB-w","3","J'en attendais beaucoup du Louchébem, me voilà déçu... Nous avons tous pris des plats différents (boeuf et agneau), et elle était trop sèche, peu gouteuse...."
"TmNfyFSU6np2S0Ym5fWBbA","lBueZXrEbdSdvujDlQUB-w","4","Ce sont les avis élogieux des Yelpeurs qui m'avaient amenée à mettre cette adresse en signet et je ne fus pas déçue! Un resto à viande complètement encore..."
"sV6L8467IvOdu9drJen8LA","JYJ0y_1we1IzMZ-UPVCQEg","4","Un service familier et agréable, ce qui est assez rare pour être souligné, et une nourriture traditionnelle ET délicieuse. Bref, des associations qui..."
"XMsQ_LsJHRdn83RhUCQT6Q","JYJ0y_1we1IzMZ-UPVCQEg","1","Que fait Michel Del Burgo dans cette galère ? La cuisine est bonne notamment la casserole de homard. mais le service est nul et les prix sont très élevés..."
"V7enhrPmJnQKaA6Q9GNDeQ","JYJ0y_1we1IzMZ-UPVCQEg","4","De la bonne cuisine traditionnelle et familiale sévit dans ce bistrot où l'on se croirait dans un appartement.  Grand comptoir, meubles et poutres en bois,..."
"aOUijAeB2j4lbfBeSYR2Tg","kNOHh6Lc0O9pCaJx6wo2Gw","5","20 01 au Yam Tcha - Paris  Cela fait une dizaine d'années que nous suivons le parcours de Adeline Grattard, l'adorable Cheffe du Yam Tcha. Son mari est le..."
"wP4b9zo8nH4tSlsAWODFAQ","kNOHh6Lc0O9pCaJx6wo2Gw","5","Nous avons passé un moment magique dans le *nouveau* Yam'Tcha !  Le restaurant a rouvert ses portes, en plus grand (environ 30 couverts) rue Saint Honoré,..."
"E-McV8KI1iH-kmZ6g-aX7A","kNOHh6Lc0O9pCaJx6wo2Gw","4","Je suis allée au Yam'Tcha en octobre dans le cadre d'un dîner d'entreprise. La spécialité du restaurant est d'associer les plats avec des thés ou des vins..."
"v5K0mSDYbZZie80KIXE6cA","went0VaMbQc6XSOi_OJteg","3","Pourquoi pas, si vous êtes dans le quartier. La sélection de vin au verre est très correcte, les fromages et autres petites choses à grignoter plus que..."
"ssOd1ARc2LpN4nVoWo3KXw","went0VaMbQc6XSOi_OJteg","5","C'est mon go-to spot quand j'ai rien d'autre en tête. Une valeur sure au service sympa, aux vins naturels, et aux plats originaux et goûteux. Pensez a..."
"YNzbqGoxJLyncRkC0f5JEw","went0VaMbQc6XSOi_OJteg","4","Un café classe comme je les aime (oui oui, encore un! Mais c'est le quartier je crois...) Anciennement, bar à vins dans la plus pure tradition, ce café est..."
"Cq5RcYxM3NNepSjejaUz2w","p2GMgZVjGWfp9Osi6c9hNw","3","Restaurant sympa, j'ai adoré la décoration et l'accueil de l'équipe ! Samoussas et nems au top, je n'ai malheureusement pas trop aimé le porc et les..."
"028Gbx4WnYLis9WfLgb1ow","p2GMgZVjGWfp9Osi6c9hNw","3","Voilà une bonne adresse pour manger à volonté dans le 5e arrondissement, pas loin du Panthéon. En plus c'est vraiment pas cher, 10.90€ pour une formule à..."
"zVFDnbgfe64T2wqQwPFt_A","p2GMgZVjGWfp9Osi6c9hNw","3","Il n'y a pas beaucoup de choix mais à 10.90€/pers pour un buffet à volonté au samedi midi cela me semble très correct. Une dame s'occupe de vous donner des..."
"XoVn2ODeHOVMzdKVUV0BUQ","6Hez13kI0lVQnWMMx4U6fQ","5","Bonne sélection de vins de propriété et de produits d'épicerie fine italienne. Plat du jour le midi ! Petite salle mais conviviale, qui permet de déguster..."
"yFn7fGFg6cGyuGGe8Pw2zQ","UOM40oa0nkZjzP5d7pmFzw","5","J'ai découvert le Bistrot Vivienne par l'intermédiaire d'un ami, il y a quelques années lorsque je vivais à Marseille. Ce qui m'avait marqué à l'époque,..."
"Zvxcn1QA38IrE-lFe58-Xg","UOM40oa0nkZjzP5d7pmFzw","2","Accompagné de collègue nous cherchions un bon restaurant vers 22 heures. Sur les conseils de l'un d'eux nous allons manger dans celui-ci. Nous avons..."
"Qx3W7_bHfHCnNn12tT6EkQ","UOM40oa0nkZjzP5d7pmFzw","4","Dimanche, 15h, pas facile de trouver un restaurant qui sert encore !
Heureusement, en nous baladant vers la Bourse, on tombe sur cette belle Galerie..."
"vJCp_TnXvLNxWGG05flu0A","XWa3IcDRMD18mHaM-qHifQ","3","Je ne vais pas aller par quatre chemins j'ai été un peu déçu par ce Clarence, quelques assiettes étaient de très haut niveau mais ça ne vaut pas pas trois..."
"mMKLqs4UFFzmhqGOg5oFvQ","ML5YEWSl3K-5-2vO35RVpQ","4","Salut à ceux qui ont faim. On voulait faire le petit déj auprès de Claus mais il y avait un queue de 45 minutes minimum ont nous a dit donc on s'est planté..."
"qfQcbLM8TX2s_ftI4MXRbA","ML5YEWSl3K-5-2vO35RVpQ","5","Très bonne brasserie française, service et bons plats dans le secteur bourse / Rivoli.  Plus
+ Plats délicieux
+ Desserts maison
+ Service rapide et..."
"-mJlqaashtF3Z6Ibh2a0Bg","e3LQ6AyQutKRM7ETJaa4Vg","5","Belle découverte que voilà !
Sur la longue rue de Turbigo, se dresse discrètement Norma, le ristorante - comprendre un restaurant italien défendant..."
